Source Image,Matched URL,ORB Score,Feature Matches
1.jpeg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRdk9xqwZwrtaFSoo8j9g9_Bkba2MmKg3b5-YORg1K8HNxzI7x3,0.0356,30
1.jpeg,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRwODFY3wlvxzuWkEfF9dRbq2oedyceRKmDfNk-zbJEWev4NZvg,0.0415,35
1.jpeg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQbz1dan9abzLZTho_9pqYSZueyzjbjpJ0mBqkihEphofeuMrR7,0.2966,250
1.jpeg,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRas6MReQUNiiarkjpvZvQ4Nkg-BRKxcZXeIXbBeGc1HS_l_Dfh,0.0902,76
1.jpeg,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTxB2simXz9MT46gE-yzH7vFYj2jEdKM7Ot4l2XRknD78k5Gx4G,0.0815,105
1.jpeg,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRT4s8ISMX_cqOWCsXkQqTlgWR4xWkRZjLh4Ff5FGwsOzoRSjeO,0.0320,27
1.jpeg,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcS7yXihkUGxyiqs9A1IZQ1Mq_wfdRB075BnGAhZl9brDnu_FKst,0.2726,286
1.jpeg,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcR3kvTREen-KzBm6FG7JFGMQdyJXZGYismi7CjD52LJQsmySYJc,0.0190,16
1.jpeg,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcR7R6YR9b4KUh0Gf9Mvshg5hvfhLY7ki0Qg1O-MdqcW2_4I9_bU,0.0119,10
2.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSAhk2hu1Bl7hQhbl_e4zwK28B2MLrv9BCJelM5j4ppxXD5Ax6n,0.0817,245
