Image Name,Processing Time (s),Match Found,Notes
image_001 (106).jpeg,15.94,0,No match above threshold
image_001 (107).jpeg,5.50,0,No match above threshold
image_001 (108).jpeg,5.96,0,No match above threshold
image_001 (109).jpeg,5.87,0,No match above threshold
image_001 (11).jpeg,56.20,0,No match above threshold
image_001 (12).jpeg,6.07,0,No match above threshold
image_001 (12).jpg,8.14,0,No match above threshold
image_001 (13).jpeg,5.74,0,No match above threshold
image_001 (13).jpg,21.36,0,No match above threshold
image_001 (14).jpeg,5.62,0,No match above threshold
image_001 (14).jpg,5.38,0,No match above threshold
image_001 (15).jpeg,11.13,0,No match above threshold
