Source Image,Matched URL,ORB Score,Template Score,Feature Matches
1.jpeg,https://r5.mt.ru/r28/photoF6DA/20658019555-0/png/bp.jpeg,0.0130,0.5458,11
1.jpeg,https://a-static.besthdwallpaper.com/small-bridge-in-the-lake-and-amazing-landscape-wallpaper-1920x600-93825_57.jpg,0.0261,0.5706,22
1.jpeg,https://images.wallpapersden.com/image/wl-moonlight-dock_62763.jpg,0.0130,0.6345,11
1.jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:zrukuf3jk2stupgs4xy2qyoq/bafkreicv345unybqmcbtfxnzva5xcctvx25oz5wc7gifuuxjfb2fmmr5vi@jpeg,0.0095,0.6467,8
1.jpeg,https://cdn.waplog.com/v1/image/waplog/jpeg/cdn_1557493157_85830798_75097c4e46.jpg?c=1&q=67&w=185&h=185,0.4000,0.5437,198
1.jpeg,https://i.ytimg.com/vi/l1gK3TASwEk/maxresdefault.jpg,0.0225,0.5944,19
1.jpeg,https://i.ytimg.com/vi/Bzz_NCkGKC8/maxresdefault.jpg,0.0344,0.6029,29
1.jpeg,https://i.ytimg.com/vi/B1Yt0MXP_eA/maxresdefault.jpg,0.0225,0.6156,19
1.jpeg,https://prodigits.co.uk/content4/wallpapers/2024/p2/29/a1ab1760.jpg,0.0095,0.5525,8
1.jpeg,https://www.shazam.com/mkimage/image/thumb/Music211/v4/ab/18/3e/ab183e0c-dc3d-c462-fd62-d0a4f6aac784/199199100728.jpg/375x375bb.webp,0.0759,0.6043,64
1.jpeg,https://downloadwap.com/thumbs2/wallpapers/p/2019/nature/43/d024b1a813242753.jpg,0.0136,0.6713,9
1.jpeg,https://img.pikbest.com/backgrounds/20250220/moonlit-lake-wooden-pier-starry-sky-calm-water-and-serene-nature_11541947.jpg!sw800,0.0095,0.5859,8
1.jpeg,https://i.pinimg.com/originals/f9/b5/93/f9b593a07b6e84dc42e41ef2b7f98e60.jpg,0.0095,0.5654,8
1.jpeg,https://i.ytimg.com/vi/QsvhsS2VRkw/maxresdefault.jpg,0.0095,0.6133,8
1.jpeg,https://i.ytimg.com/vi/dyVJGR8wxi4/maxresdefault.jpg,0.0119,0.5692,10
1.jpeg,https://i.pinimg.com/280x280_RS/84/9f/fe/849ffe293cb073a7642a4e6863737c61.jpg,0.0866,0.6715,73
1.jpeg,https://www.shutterstock.com/image-photo/lake-dock-lights-night-moon-260nw-2494448483.jpg,0.0130,0.5773,11
1.jpeg,https://sun9-41.userapi.com/impg/M2omosWYJjy2-2uVKwSuzYgId0q-UGFQQoXVhg/77uS_upQxKA.jpg?size=604x428&quality=95&sign=b223e5b68c66ba90be6b1a6bd638b921&type=album,0.0225,0.5617,19
1.jpeg,https://watermark.lovepik.com/photo/20211204/large/lovepik-lake-and-wooden-pier-at-dawn-in-kelpert-lapland-picture_501516515.jpg,0.0047,0.7073,4
1.jpeg,https://www.shazam.com/mkimage/image/thumb/Music116/v4/3d/6f/29/3d6f2932-81e7-2f37-60d1-c51107b883fa/5063181336660_cover.jpg/300x300bb.webp,0.0095,0.6273,8
2.jpg,"https://m.media-amazon.com/images/I/61Yp7ovLpAL._AC_UF1000,1000_QL80_.jpg",0.4853,0.6628,1456
2.jpg,https://media.list.ly/production/155945/headline.jpeg?ver=6921200275,0.0023,0.7435,7
2.jpg,"https://assets.myntassets.com/h_1440,q_95,w_1080/assets/images/29086632/2024/4/20/9896fc02-f7c0-4840-86cd-eb6311f35a7c1713616710243FreshFlowers1.jpg",0.0030,0.7087,9
2.jpg,https://pbs.twimg.com/media/E3uEzMIXEAUGn6p.jpg,0.0053,0.7204,16
2.jpg,https://i.pinimg.com/originals/1a/3d/02/1a3d020203781a8785d642ad48663c0c.jpg,0.0013,0.7008,4
2.jpg,https://nevavenok.ru/img/17478529_1920.jpg,0.0043,0.7196,13
2.jpg,http://i.pinimg.com/736x/19/5f/6e/195f6ebd7c05fb46f703ba14028bbeda.jpg,0.0007,0.7124,2
2.jpg,https://99flowers.in/wp-content/uploads/2021/05/15-Red-Roses-Arrangement.jpg,0.0023,0.7895,7
2.jpg,http://mumg.in/wp-content/uploads/2021/01/20210113_213052.jpg,0.0040,0.7233,12
2.jpg,https://i3.storeland.net/2/5526/155257853/afacdb/whatsapp-image-2021-07-09-at-12-43-31-jpeg.jpg,0.0053,0.7582,16
2.jpg,https://i.pinimg.com/236x/58/5c/25/585c2521d353b7b9ec12676515260edc.jpg?nii=t,0.0051,0.8130,10
2.jpg,https://www.bunchesbaskets.it/product_image/22.jpg,0.0032,0.7501,9
2.jpg,https://internetflorist.b-cdn.net/v4/images_flowers/big/awe-inspiring-red-roses-basket-with-red-bow-5518-7135.webp,0.0017,0.7002,5
3.png,https://irecommend.ru/sites/default/files/imagecache/copyright1/user-images/1481679/IawhX7mUHQPpT1NysQABwA.jpg,0.0000,0.7371,0
3.png,https://cdn.cloudflare.steamstatic.com/steam/apps/1828510/ss_06fabd50d5ca14acbe7244e428a250827cdf3f85.1920x1080.jpg?t=1639572561,0.0588,0.7116,1
