Source Image,Matched URL,ORB Score,Feature Matches
1.jpeg,https://i.ytimg.com/vi/B1Yt0MXP_eA/maxresdefault.jpg,0.0386,32
1.jpeg,https://www.shutterstock.com/image-photo/lake-dock-lights-night-moon-260nw-2494448483.jpg,0.0121,10
1.jpeg,https://cdn.waplog.com/v1/image/waplog/jpeg/cdn_1557493157_85830798_75097c4e46.jpg?c=1&q=67&w=185&h=185,0.4384,217
1.jpeg,https://downloadwap.com/thumbs2/wallpapers/p/2019/nature/43/d024b1a813242753.jpg,0.0182,12
1.jpeg,https://assets.audiomack.com/alien-waves/67fa4701db8d42c412ec7ddf8b53e374a6f256fc6f1624e55e371c5c161fa821.jpeg?width=1000&height=1000&max=true,0.0459,38
1.jpeg,https://t4.ftcdn.net/jpg/03/65/31/35/360_F_365313531_StzdCr8VWVhVkW1hjNM1c2OoMyNzFOYX.jpg,0.0145,12
1.jpeg,https://a-static.besthdwallpaper.com/small-bridge-in-the-lake-and-amazing-landscape-wallpaper-1920x600-93825_57.jpg,0.0495,41
1.jpeg,https://i.ytimg.com/vi/ZcJFgeVw1pA/maxresdefault.jpg,0.0181,15
1.jpeg,https://i.ytimg.com/vi/Bzz_NCkGKC8/maxresdefault.jpg,0.0531,44
1.jpeg,https://www.shazam.com/mkimage/image/thumb/Music116/v4/3d/6f/29/3d6f2932-81e7-2f37-60d1-c51107b883fa/5063181336660_cover.jpg/300x300bb.webp,0.0157,13
1.jpeg,https://www.shazam.com/mkimage/image/thumb/Music211/v4/ab/18/3e/ab183e0c-dc3d-c462-fd62-d0a4f6aac784/199199100728.jpg/375x375bb.webp,0.0737,61
1.jpeg,https://i.pinimg.com/originals/f9/b5/93/f9b593a07b6e84dc42e41ef2b7f98e60.jpg,0.0157,13
1.jpeg,https://i.ytimg.com/vi/l1gK3TASwEk/maxresdefault.jpg,0.0266,22
2.jpg,"https://m.media-amazon.com/images/I/61Yp7ovLpAL._AC_UF1000,1000_QL80_.jpg",0.6240,1248
